dataset,strategy,correct,total,acc,wilson_lo,wilson_hi,avg_tokens,avg_calls,parse_rate
gsm8k,greedy_io,238,300,0.7933333333333333,0.7439440144288736,0.8353051733057882,340.7366666666667,1.0,1.0
gsm8k,greedy_cot,215,300,0.7166666666666667,0.6631845423956875,0.7646699712719605,466.99666666666667,1.0,1.0
gsm8k,zero_shot_tot_k3,209,300,0.6966666666666667,0.6424305301606225,0.7459297207069348,474.01,1.0,1.0
gsm8k,self_consistency_k5,236,300,0.7866666666666666,0.7368363171534565,0.8292481163145083,2373.83,5.0,1.0
gsm8k,best_of_n_k5_self_eval,204,300,0.68,0.6252228520235206,0.7302255131772947,4801.636666666666,10.0,1.0
gsm8k,frugal_reason_v3,246,300,0.82,0.7725658602716683,0.8593423445297808,1811.4866666666667,3.8833333333333333,1.0
aqua,greedy_io,156,254,0.6141732283464567,0.5530293751049905,0.671914931787303,497.7795275590551,1.0,0.9763779527559056
aqua,greedy_cot,136,254,0.5354330708661418,0.4740254308510804,0.5957848712879074,568.9409448818898,1.0,0.9448818897637795
aqua,zero_shot_tot_k3,135,254,0.531496062992126,0.4701153262174663,0.5919382756838562,576.1023622047244,1.0,0.9488188976377953
aqua,self_consistency_k5,155,254,0.610236220472441,0.5490420516344583,0.66814555502017,2863.3425196850394,5.0,1.0
aqua,best_of_n_k5_self_eval,135,254,0.531496062992126,0.4701153262174663,0.5919382756838562,5779.6968503937005,10.0,0.9724409448818898
aqua,frugal_reason_v3,180,254,0.7086614173228346,0.650003180754176,0.7611019318420846,3192.244094488189,4.653543307086614,1.0
math,greedy_io,124,238,0.5210084033613446,0.4577120423755249,0.5836373367221988,437.0798319327731,1.0,1.0
math,greedy_cot,118,238,0.4957983193277311,0.4328498386012444,0.558880285579211,532.3781512605042,1.0,1.0
math,zero_shot_tot_k3,115,238,0.4831932773109244,0.4204778799258973,0.5464426167959239,538.0798319327731,1.0,1.0
math,self_consistency_k5,136,238,0.5714285714285714,0.5079125613149227,0.632675327617337,2647.705882352941,5.0,1.0
math,best_of_n_k5_self_eval,101,238,0.42436974789915966,0.36326720311948596,0.4878750321287095,5330.088235294118,10.0,1.0
math,frugal_reason_v3,175,238,0.7352941176470589,0.6758274467331971,0.7872855991613059,3219.9411764705883,5.1722689075630255,1.0
strategyqa,greedy_io,176,300,0.5866666666666667,0.530189570224348,0.6409522352427112,78.24,1.0,0.9933333333333333
strategyqa,greedy_cot,199,300,0.6633333333333333,0.6080909561297257,0.7144455234043473,350.9,1.0,0.9933333333333333
strategyqa,zero_shot_tot_k3,199,300,0.6633333333333333,0.6080909561297257,0.7144455234043473,359.92333333333335,1.0,0.99
strategyqa,self_consistency_k5,205,300,0.6833333333333333,0.6286582253552765,0.7333725169788871,1839.9966666666667,5.0,1.0
strategyqa,best_of_n_k5_self_eval,197,300,0.6566666666666666,0.6012587616559601,0.708112963611416,3736.3966666666665,10.0,0.9866666666666667
strategyqa,frugal_reason_v3,196,300,0.6533333333333333,0.5978469867996585,0.7049423613343692,1231.37,4.013333333333334,1.0
