dataset,baseline,metric,mean_diff,ci_lo,ci_hi
gsm8k,greedy_io,accuracy,0.02666666666666667,-0.016666666666666666,0.07
gsm8k,greedy_cot,accuracy,0.10333333333333333,0.06,0.15
gsm8k,zero_shot_tot_k3,accuracy,0.12333333333333334,0.08,0.16666666666666666
gsm8k,self_consistency_k5,accuracy,0.03333333333333333,-0.006666666666666667,0.07333333333333333
gsm8k,self_consistency_k5,tokens,-562.3433333333334,-734.7604166666666,-384.13800000000003
gsm8k,self_consistency_k5,calls,-1.1166666666666667,-1.44,-0.78
gsm8k,best_of_n_k5_self_eval,accuracy,0.14,0.08666666666666667,0.19333333333333333
gsm8k,best_of_n_k5_self_eval,tokens,-2990.15,-3163.40175,-2815.6283333333336
gsm8k,best_of_n_k5_self_eval,calls,-6.116666666666666,-6.446666666666666,-5.786666666666667
aqua,greedy_io,accuracy,0.09448818897637795,0.03937007874015748,0.14960629921259844
aqua,greedy_cot,accuracy,0.1732283464566929,0.1141732283464567,0.23228346456692914
aqua,zero_shot_tot_k3,accuracy,0.17716535433070865,0.1141732283464567,0.2440944881889764
aqua,self_consistency_k5,accuracy,0.0984251968503937,0.03543307086614173,0.16141732283464566
aqua,self_consistency_k5,tokens,328.90157480314963,-2.037499999999998,665.5405511811023
aqua,self_consistency_k5,calls,-0.3464566929133858,-0.7598425196850394,0.07874015748031496
aqua,best_of_n_k5_self_eval,accuracy,0.17716535433070865,0.11023622047244094,0.2440944881889764
aqua,best_of_n_k5_self_eval,tokens,-2587.452755905512,-2903.340255905512,-2267.1375000000003
aqua,best_of_n_k5_self_eval,calls,-5.346456692913386,-5.751968503937008,-4.937007874015748
math,greedy_io,accuracy,0.21428571428571427,0.15966386554621848,0.27310924369747897
math,greedy_cot,accuracy,0.23949579831932774,0.17647058823529413,0.3025210084033613
math,zero_shot_tot_k3,accuracy,0.25210084033613445,0.18907563025210083,0.31512605042016806
math,self_consistency_k5,accuracy,0.1638655462184874,0.10504201680672269,0.22268907563025211
math,self_consistency_k5,tokens,572.2352941176471,244.87941176470588,904.8158613445378
math,self_consistency_k5,calls,0.1722689075630252,-0.2647058823529412,0.6050420168067226
math,best_of_n_k5_self_eval,accuracy,0.31092436974789917,0.24789915966386555,0.3739495798319328
math,best_of_n_k5_self_eval,tokens,-2110.1470588235293,-2423.4357142857143,-1792.4836134453783
math,best_of_n_k5_self_eval,calls,-4.8277310924369745,-5.260504201680672,-4.382352941176471
strategyqa,greedy_io,accuracy,0.06666666666666667,0.02,0.11333333333333333
strategyqa,greedy_cot,accuracy,-0.01,-0.056666666666666664,0.03666666666666667
strategyqa,zero_shot_tot_k3,accuracy,-0.01,-0.056666666666666664,0.03333333333333333
strategyqa,self_consistency_k5,accuracy,-0.03,-0.06666666666666667,0.006666666666666667
strategyqa,self_consistency_k5,tokens,-608.6266666666667,-738.2985,-474.1395
strategyqa,self_consistency_k5,calls,-0.9866666666666667,-1.33,-0.6333333333333333
strategyqa,best_of_n_k5_self_eval,accuracy,-0.0033333333333333335,-0.05333333333333334,0.04666666666666667
strategyqa,best_of_n_k5_self_eval,tokens,-2505.0266666666666,-2643.905333333333,-2365.41025
strategyqa,best_of_n_k5_self_eval,calls,-5.986666666666666,-6.333333333333333,-5.636583333333334
