dataset,baseline,b_fr_only,c_bs_only,p_value,significance,acc_diff
gsm8k,greedy_io,25,17,0.27995623852893914,,0.026666666666666616
gsm8k,greedy_cot,41,10,1.4737715885004832e-05,***,0.10333333333333328
gsm8k,zero_shot_tot_k3,43,6,5.7277652842913085e-08,***,0.1233333333333333
gsm8k,self_consistency_k5,25,15,0.1538599441628321,,0.033333333333333326
gsm8k,best_of_n_k5_self_eval,59,17,1.3968718113140028e-06,***,0.1399999999999999
aqua,greedy_io,39,15,0.0014962588853935084,**,0.0944881889763779
aqua,greedy_cot,56,12,6.209495737562187e-08,***,0.17322834645669283
aqua,zero_shot_tot_k3,62,17,3.5883588815862885e-07,***,0.17716535433070857
aqua,self_consistency_k5,47,22,0.0035448128470210523,**,0.09842519685039364
aqua,best_of_n_k5_self_eval,67,22,1.899849174722082e-06,***,0.17716535433070857
math,greedy_io,56,5,5.645556938604912e-12,***,0.2142857142857143
math,greedy_cot,64,7,1.2596743309903347e-12,***,0.23949579831932777
math,zero_shot_tot_k3,66,6,7.255748219519502e-14,***,0.2521008403361345
math,self_consistency_k5,48,9,1.5201952291432616e-07,***,0.16386554621848748
math,best_of_n_k5_self_eval,77,3,1.4128410298528223e-19,***,0.3109243697478992
strategyqa,greedy_io,36,16,0.0077874363057435225,**,0.06666666666666665
strategyqa,greedy_cot,24,27,0.7797679305530743,,-0.010000000000000009
strategyqa,zero_shot_tot_k3,23,26,0.7754496546815659,,-0.010000000000000009
strategyqa,self_consistency_k5,12,21,0.16275565745308995,,-0.030000000000000027
strategyqa,best_of_n_k5_self_eval,28,29,1.0,,-0.0033333333333332993
