task,local_question_id,original_question_number,strategy,status,correct,parse_success,number_of_model_calls,prompt_tokens_total,completion_tokens_total,total_tokens_total,latency_seconds_total,energy_joules_total_if_available,tokens_percent_within_question,tokens_percent_within_task_so_far,tokens_percent_within_run_so_far
game24,1,933,greedy_io,success,False,True,1,83,20,103,3.7469,,0.77,100.0,100.0
game24,1,933,greedy_cot,success,False,True,1,121,257,378,7.562,,2.83,78.59,78.59
game24,1,933,self_consistency_k5,success,True,True,5,605,1493,2098,41.2974,,15.69,81.35,81.35
game24,1,933,best_of_n_k5_self_eval,success,True,True,10,2193,1124,3317,52.1121,,24.81,56.26,56.26
game24,1,933,zero_shot_tot_k3,success,False,True,8,4507,2967,7474,77.8088,,55.9,55.9,55.9
game24,2,934,greedy_io,success,False,True,1,83,20,103,3.3525,,0.67,0.76,0.76
game24,2,934,greedy_cot,success,False,True,1,121,360,481,9.2981,,3.13,3.45,3.45
game24,2,934,self_consistency_k5,success,False,True,5,605,1981,2586,51.0371,,16.84,15.63,15.63
game24,2,934,best_of_n_k5_self_eval,success,False,True,10,3166,2098,5264,70.1501,,34.28,24.14,24.14
game24,2,934,zero_shot_tot_k3,success,False,True,8,4370,2551,6921,68.9862,,45.07,24.09,24.09
game24,3,935,greedy_io,success,True,True,1,84,21,105,3.2875,,0.82,0.36,0.36
game24,3,935,greedy_cot,success,True,True,1,122,322,444,8.8867,,3.46,1.52,1.52
game24,3,935,self_consistency_k5,success,False,True,5,610,1834,2444,48.4894,,19.06,7.71,7.71
game24,3,935,best_of_n_k5_self_eval,success,False,True,10,2407,1327,3734,54.9607,,29.12,10.53,10.53
game24,3,935,zero_shot_tot_k3,success,True,True,8,3593,2503,6096,68.9055,,47.54,14.67,14.67
game24,4,936,greedy_io,success,False,True,1,83,23,106,3.5817,,0.66,0.25,0.25
game24,4,936,greedy_cot,success,False,True,1,121,512,633,12.1272,,3.95,1.5,1.5
game24,4,936,self_consistency_k5,success,False,True,5,605,1580,2185,44.0721,,13.64,4.91,4.91
game24,4,936,best_of_n_k5_self_eval,success,True,True,10,2833,1764,4597,62.6468,,28.7,9.37,9.37
game24,4,936,zero_shot_tot_k3,success,False,True,8,5204,3293,8497,83.524,,53.05,14.76,14.76
game24,5,937,greedy_io,success,False,True,1,85,22,107,3.7136,,0.74,0.19,0.19
game24,5,937,greedy_cot,success,False,True,1,123,512,635,12.0636,,4.42,1.09,1.09
game24,5,937,self_consistency_k5,success,False,True,5,615,2011,2626,51.8361,,18.28,4.31,4.31
game24,5,937,best_of_n_k5_self_eval,success,True,True,10,2733,1644,4377,62.2344,,30.46,6.7,6.7
game24,5,937,zero_shot_tot_k3,success,False,True,8,4152,2472,6624,67.9111,,46.1,9.21,9.21
game24,6,938,greedy_io,success,False,True,1,82,19,101,3.7575,,0.65,0.14,0.14
game24,6,938,greedy_cot,success,True,True,1,120,348,468,9.2568,,2.99,0.65,0.65
game24,6,938,self_consistency_k5,success,True,True,5,600,2072,2672,51.8249,,17.1,3.55,3.55
game24,6,938,best_of_n_k5_self_eval,success,False,True,10,2393,1336,3729,56.044,,23.86,4.73,4.73
game24,6,938,zero_shot_tot_k3,success,True,True,8,5283,3375,8658,85.5563,,55.4,9.89,9.89
game24,7,939,greedy_io,success,False,True,1,84,22,106,3.5172,,0.74,0.12,0.12
game24,7,939,greedy_cot,success,False,True,1,122,227,349,7.5047,,2.45,0.4,0.4
game24,7,939,self_consistency_k5,success,False,True,5,610,1744,2354,46.8678,,16.5,2.6,2.6
game24,7,939,best_of_n_k5_self_eval,success,False,True,10,2170,1092,3262,52.0307,,22.87,3.48,3.48
game24,7,939,zero_shot_tot_k3,success,True,True,8,5059,3135,8194,79.8523,,57.44,8.05,8.05
game24,8,940,greedy_io,success,False,True,1,83,20,103,3.5027,,0.66,0.1,0.1
game24,8,940,greedy_cot,success,False,True,1,121,194,315,6.4853,,2.03,0.31,0.31
game24,8,940,self_consistency_k5,success,True,True,5,605,2129,2734,52.8901,,17.61,2.6,2.6
game24,8,940,best_of_n_k5_self_eval,success,False,True,10,2721,1654,4375,62.8644,,28.18,4.0,4.0
game24,8,940,zero_shot_tot_k3,success,False,True,8,4956,3044,8000,79.3619,,51.52,6.82,6.82
game24,9,941,greedy_io,success,False,True,1,83,22,105,3.9247,,0.62,0.09,0.09
game24,9,941,greedy_cot,success,False,True,1,121,240,361,7.7897,,2.13,0.31,0.31
game24,9,941,self_consistency_k5,success,False,True,5,605,1811,2416,48.3512,,14.25,2.01,2.01
game24,9,941,best_of_n_k5_self_eval,success,False,True,10,3226,2156,5382,71.8236,,31.74,4.28,4.28
game24,9,941,zero_shot_tot_k3,success,False,False,8,5306,3389,8695,84.9514,,51.27,6.47,6.47
game24,10,942,greedy_io,success,False,True,1,84,25,109,3.5314,,0.77,0.08,0.08
game24,10,942,greedy_cot,success,False,True,1,122,236,358,7.2013,,2.52,0.27,0.27
game24,10,942,self_consistency_k5,success,False,True,5,610,1385,1995,40.5703,,14.02,1.46,1.46
game24,10,942,best_of_n_k5_self_eval,success,False,True,10,2915,1836,4751,64.2467,,33.39,3.36,3.36
game24,10,942,zero_shot_tot_k3,success,False,False,8,4234,2781,7015,74.5383,,49.3,4.72,4.72
game24,11,943,greedy_io,success,False,True,1,83,21,104,3.2712,,0.75,0.07,0.07
game24,11,943,greedy_cot,success,False,True,1,121,512,633,11.7887,,4.57,0.42,0.42
game24,11,943,self_consistency_k5,success,False,True,5,605,1060,1665,35.0576,,12.02,1.1,1.1
game24,11,943,best_of_n_k5_self_eval,success,True,True,10,2971,1903,4874,67.1992,,35.18,3.13,3.13
game24,11,943,zero_shot_tot_k3,success,False,True,8,4086,2492,6578,66.2308,,47.48,4.05,4.05
