task,strategy,count,mean_tokens,min_tokens,p10_tokens,p25_tokens,median_tokens,p75_tokens,p90_tokens,p95_tokens,max_tokens,mean_latency_seconds,mean_model_calls,parse_rate,accuracy_if_gold_available
game24,best_of_n_k5_self_eval,36,4211.8,2865,3289.5,3710.2,4254.5,4756.2,5098.5,5293.5,5508,58.32,10.0,0.9722,0.1667
game24,greedy_cot,36,452.4,244,279.0,355.8,459.5,568.5,633.0,633.2,635,8.61,1.0,1.0,0.1944
game24,greedy_io,36,103.9,101,101.5,103.0,104.0,105.0,106.5,107.2,109,3.37,1.0,0.9444,0.0556
game24,self_consistency_k5,36,2261.2,1505,1892.5,2065.2,2237.5,2449.0,2700.0,2745.5,2787,43.06,5.0,1.0,0.2222
game24,zero_shot_tot_k3,36,7307.8,4765,5856.5,6497.8,7386.5,8274.0,8714.0,8940.0,9104,72.89,8.0,0.9167,0.2778
gsm8k,best_of_n_k5_self_eval,36,4160.1,2399,3132.5,3596.8,4095.0,4749.0,5391.5,5489.5,6060,53.88,10.0,1.0,0.6667
gsm8k,greedy_cot,36,403.8,235,295.0,336.2,394.5,483.5,538.0,546.5,589,7.31,1.0,1.0,0.7222
gsm8k,greedy_io,36,353.0,96,138.0,271.0,367.0,448.8,516.5,554.5,611,8.24,1.0,0.9722,0.5278
gsm8k,self_consistency_k5,36,2042.6,1162,1512.5,1751.8,1912.0,2444.2,2640.0,2748.2,2888,35.82,5.0,1.0,0.7778
gsm8k,zero_shot_tot_k3,36,6095.0,3917,4491.0,5249.2,5853.0,7148.8,7673.0,8318.5,8747,59.55,8.0,1.0,0.5556
strategyqa,best_of_n_k5_self_eval,36,2734.1,1791,2121.5,2199.8,2693.0,3277.5,3420.0,3655.0,4156,48.7,10.0,0.9722,0.6389
strategyqa,greedy_cot,36,264.2,158,190.5,215.5,252.0,301.5,337.0,407.0,455,6.84,1.0,1.0,0.6667
strategyqa,greedy_io,36,62.8,56,58.5,60.8,63.0,65.0,67.0,67.8,71,3.31,1.0,1.0,0.6389
strategyqa,self_consistency_k5,36,1361.9,889,1060.5,1153.0,1349.5,1552.5,1697.0,1754.0,1840,31.24,5.0,1.0,0.6389
strategyqa,zero_shot_tot_k3,36,6835.0,3930,5289.5,5870.8,6613.5,7824.5,8622.0,8762.0,8929,72.1,8.0,0.8611,0.5833
