ablation,task,accuracy,tokens,latency
FR_ClusterThenJudge_Top2,gsm8k,0.0,755.8611111111111,0.0
FR_ClusterThenJudge_Top2,strategyqa,0.6111111111111112,778.0833333333334,1.3993846045600043e-05
FR_ClusterThenJudge_Top2,game24,0.0,782.7,0.0
FR_JudgeAll_Top5,gsm8k,0.0,753.9166666666666,0.0
FR_JudgeAll_Top5,strategyqa,0.6111111111111112,743.7222222222222,2.7875105539957683e-05
FR_JudgeAll_Top5,game24,0.0,714.2,0.0
FR_noP1,gsm8k,0.0,762.3611111111111,8.373790317111545e-05
FR_noP1,strategyqa,0.6111111111111112,761.1111111111111,8.367829852634006e-05
FR_noP1,game24,0.0,755.0,0.0
FR_noP2,gsm8k,0.0,728.8611111111111,6.085634231567383e-05
FR_noP2,strategyqa,0.6111111111111112,750.7222222222222,1.3954109615749783e-05
FR_noP2,game24,0.0,717.6,0.0
FR_noP3,gsm8k,0.0,768.0833333333334,0.0
FR_noP3,strategyqa,0.6111111111111112,751.8333333333334,0.0001128183470831977
FR_noP3,game24,0.0,743.9,0.0
FR_Tau_0.5,gsm8k,0.0,762.3333333333334,7.172425587972005e-05
FR_Tau_0.5,strategyqa,0.6111111111111112,744.9166666666666,0.0
FR_Tau_0.5,game24,0.0,739.1,5.166530609130859e-05
FR_Tau_0.6,gsm8k,0.0,730.1944444444445,2.91797849867079e-05
FR_Tau_0.6,strategyqa,0.6111111111111112,767.1666666666666,0.0
FR_Tau_0.6,game24,0.0,746.1,0.0
FR_Tau_0.7,gsm8k,0.0,758.0277777777778,5.69356812371148e-05
FR_Tau_0.7,strategyqa,0.6111111111111112,751.75,4.21338611178928e-05
FR_Tau_0.7,game24,0.0,775.9,0.00013387203216552734
FR_Tau_0.8,gsm8k,0.0,738.0,2.7901596493191188e-05
FR_Tau_0.8,strategyqa,0.6111111111111112,759.9166666666666,4.215372933281792e-05
FR_Tau_0.8,game24,0.0,741.2,0.0
