timestamp,task,example_id,strategy,model_name,final_answer,gold_answer,correct,parse_method,parse_success,latency_seconds,total_prompt_tokens,total_completion_tokens,model_calls,energy_joules,avg_cpu_percent,hardware_type,error
2026-08-10T02:26:04.053119+00:00,gsm8k,gsm8k_0,best_of_n,qwen2.5:3b,100,100,True,strict,True,62.6543,595,1370,5,,5.08,cpu,
2026-08-10T02:27:23.179674+00:00,gsm8k,gsm8k_1,best_of_n,qwen2.5:3b,30,30,True,lenient,True,79.0931,640,1794,5,,5.279999999999999,cpu,
2026-08-10T02:28:28.249887+00:00,gsm8k,gsm8k_2,best_of_n,qwen2.5:3b,2,623,False,lenient,True,65.0357,490,1433,5,,5.34,cpu,
2026-08-10T02:29:40.171235+00:00,gsm8k,gsm8k_3,best_of_n,qwen2.5:3b,6,36,False,lenient,True,71.887,705,1612,5,,4.78,cpu,
2026-08-10T02:31:49.130522+00:00,gsm8k,gsm8k_4,best_of_n,qwen2.5:3b,10,10,True,lenient,True,128.9242,710,3072,5,,6.5600000000000005,cpu,
2026-08-10T02:32:42.917612+00:00,gsm8k,gsm8k_5,best_of_n,qwen2.5:3b,12,12,True,lenient,True,53.7488,550,1133,5,,5.64,cpu,
2026-08-10T02:34:10.252293+00:00,gsm8k,gsm8k_6,best_of_n,qwen2.5:3b,14000,"14,000",True,lenient,True,87.2976,725,2013,5,,5.0600000000000005,cpu,
2026-08-10T02:35:19.754292+00:00,gsm8k,gsm8k_7,best_of_n,qwen2.5:3b,125,3000,False,lenient,True,69.4651,620,1551,5,,4.54,cpu,
2026-08-10T02:38:08.252261+00:00,gsm8k,gsm8k_8,best_of_n,qwen2.5:3b,540,540,True,lenient,True,168.4605,770,4060,5,,5.06,cpu,
2026-08-10T02:38:52.788558+00:00,gsm8k,gsm8k_9,best_of_n,qwen2.5:3b,5,5,True,lenient,True,44.4967,550,885,5,,3.8600000000000003,cpu,
2026-08-10T03:15:53.112722+00:00,strategyqa,strategyqa_0,best_of_n,qwen2.5:3b,no,no,True,fallback,True,70.9044,400,1590,6,,4.859999999999999,cpu,
2026-08-10T03:17:40.366114+00:00,strategyqa,strategyqa_1,best_of_n,qwen2.5:3b,no,yes,False,lenient,True,86.2004,405,1939,6,,6.0,cpu,
2026-08-10T03:19:07.687450+00:00,strategyqa,strategyqa_2,best_of_n,qwen2.5:3b,no,no,True,fallback,True,75.8388,400,1680,6,,6.239999999999999,cpu,
2026-08-10T03:20:04.112850+00:00,strategyqa,strategyqa_3,best_of_n,qwen2.5:3b,yes,yes,True,fallback,True,53.0764,440,1100,6,,11.16,cpu,
2026-08-10T03:21:01.654991+00:00,strategyqa,strategyqa_4,best_of_n,qwen2.5:3b,yes,yes,True,fallback,True,57.4992,395,1236,6,,5.74,cpu,
2026-08-10T03:22:24.847135+00:00,strategyqa,strategyqa_5,best_of_n,qwen2.5:3b,no,no,True,fallback,True,83.1484,405,1926,6,,5.1,cpu,
2026-08-10T03:23:39.626689+00:00,strategyqa,strategyqa_6,best_of_n,qwen2.5:3b,no,no,True,fallback,True,71.2521,390,1592,6,,5.32,cpu,
2026-08-10T03:24:43.903242+00:00,strategyqa,strategyqa_7,best_of_n,qwen2.5:3b,no,yes,False,lenient,True,47.5442,380,921,6,,3.34,cpu,
2026-08-10T03:25:34.499610+00:00,strategyqa,strategyqa_8,best_of_n,qwen2.5:3b,no,no,True,fallback,True,47.2768,420,954,6,,3.3600000000000003,cpu,
2026-08-10T03:27:00.858334+00:00,strategyqa,strategyqa_9,best_of_n,qwen2.5:3b,yes,yes,True,fallback,True,74.5764,440,1663,6,,4.28,cpu,
2026-08-10T04:16:52.796174+00:00,game24,game24_0,best_of_n,qwen2.5:3b,(13 - 9) * 4 / 1,24,False,lenient,True,186.0796,495,4553,6,,3.8,cpu,
2026-08-10T04:19:43.330396+00:00,game24,game24_1,best_of_n,qwen2.5:3b,5,24,False,lenient,True,170.4833,485,4146,6,,4.38,cpu,
2026-08-10T04:21:07.800383+00:00,game24,game24_2,best_of_n,qwen2.5:3b,(6 - 4/1) * 3,24,False,lenient,True,84.4192,485,1936,6,,4.1,cpu,
2026-08-10T04:22:56.544833+00:00,game24,game24_3,best_of_n,qwen2.5:3b,2,24,False,lenient,True,108.6936,490,2565,6,,4.82,cpu,
2026-08-10T04:25:14.350216+00:00,game24,game24_4,best_of_n,qwen2.5:3b,4,24,False,lenient,True,137.7536,485,3304,6,,4.82,cpu,
2026-08-10T04:26:44.270852+00:00,game24,game24_5,best_of_n,qwen2.5:3b,20 + 4,24,True,strict,True,89.8673,485,2086,6,,5.18,cpu,
2026-08-10T04:28:56.623887+00:00,game24,game24_6,best_of_n,qwen2.5:3b,- 3 * 8,24,False,lenient,True,132.2991,485,3169,6,,4.66,cpu,
2026-08-10T04:30:52.756525+00:00,game24,game24_7,best_of_n,qwen2.5:3b,16 + 2,24,False,lenient,True,116.0774,485,2759,6,,4.88,cpu,
2026-08-10T04:33:01.062132+00:00,game24,game24_8,best_of_n,qwen2.5:3b,(7 + (7 * (2 / 2))) + 3,24,False,lenient,True,128.2502,485,3064,6,,5.0600000000000005,cpu,
2026-08-10T04:35:25.063647+00:00,game24,game24_9,best_of_n,qwen2.5:3b,((5 + 4) - 3) * 4,24,True,strict,True,143.9441,485,3470,6,,4.8,cpu,
