timestamp,task,example_id,strategy,model_name,final_answer,gold_answer,correct,parse_method,parse_success,latency_seconds,total_prompt_tokens,total_completion_tokens,model_calls,energy_joules,avg_cpu_percent,hardware_type,error
2026-08-10T02:08:02.204930+00:00,gsm8k,gsm8k_0,greedy_io,qwen2.5:3b,200,100,False,strict,True,8.5251,102,78,1,,10.7,cpu,
2026-08-10T02:08:16.467395+00:00,gsm8k,gsm8k_1,greedy_io,qwen2.5:3b,30,30,True,strict,True,14.2525,111,308,1,,4.9,cpu,
2026-08-10T02:08:24.187836+00:00,gsm8k,gsm8k_2,greedy_io,qwen2.5:3b,623,623,True,strict,True,7.7108,81,135,1,,4.5,cpu,
2026-08-10T02:08:36.140781+00:00,gsm8k,gsm8k_3,greedy_io,qwen2.5:3b,40,36,False,strict,True,11.9429,124,247,1,,5.6,cpu,
2026-08-10T02:08:52.147359+00:00,gsm8k,gsm8k_4,greedy_io,qwen2.5:3b,10,10,True,strict,True,15.997,125,354,1,,5.1,cpu,
2026-08-10T02:09:00.015036+00:00,gsm8k,gsm8k_5,greedy_io,qwen2.5:3b,12,12,True,strict,True,7.8574,93,139,1,,4.7,cpu,
2026-08-10T02:09:11.322124+00:00,gsm8k,gsm8k_6,greedy_io,qwen2.5:3b,14000,"14,000",True,strict,True,11.2966,128,229,1,,4.5,cpu,
2026-08-10T02:09:21.003736+00:00,gsm8k,gsm8k_7,greedy_io,qwen2.5:3b,3000,3000,True,strict,True,9.6714,107,186,1,,5.0,cpu,
2026-08-10T02:09:34.916867+00:00,gsm8k,gsm8k_8,greedy_io,qwen2.5:3b,465,540,False,strict,True,13.9026,137,299,1,,4.8,cpu,
2026-08-10T02:09:39.618031+00:00,gsm8k,gsm8k_9,greedy_io,qwen2.5:3b,5,5,True,strict,True,4.6904,93,55,1,,3.4,cpu,
2026-08-10T03:00:08.255259+00:00,strategyqa,strategyqa_0,greedy_io,qwen2.5:3b,no,no,True,strict,True,2.9656,63,8,1,,5.8,cpu,
2026-08-10T03:00:11.052719+00:00,strategyqa,strategyqa_1,greedy_io,qwen2.5:3b,no,yes,False,strict,True,2.7863,64,8,1,,3.1,cpu,
2026-08-10T03:00:13.863341+00:00,strategyqa,strategyqa_2,greedy_io,qwen2.5:3b,no,no,True,strict,True,2.7999,63,8,1,,4.1,cpu,
2026-08-10T03:00:16.826230+00:00,strategyqa,strategyqa_3,greedy_io,qwen2.5:3b,no,yes,False,strict,True,2.9525,71,8,1,,4.2,cpu,
2026-08-10T03:00:19.530283+00:00,strategyqa,strategyqa_4,greedy_io,qwen2.5:3b,no,yes,False,strict,True,2.693,62,6,1,,3.9,cpu,
2026-08-10T03:00:25.261807+00:00,strategyqa,strategyqa_5,greedy_io,qwen2.5:3b,no,no,True,strict,True,5.7205,64,87,1,,4.2,cpu,
2026-08-10T03:00:27.970166+00:00,strategyqa,strategyqa_6,greedy_io,qwen2.5:3b,no,no,True,strict,True,2.6974,61,6,1,,2.6,cpu,
2026-08-10T03:00:30.752776+00:00,strategyqa,strategyqa_7,greedy_io,qwen2.5:3b,no,yes,False,strict,True,2.7719,59,8,1,,9.8,cpu,
2026-08-10T03:00:33.557626+00:00,strategyqa,strategyqa_8,greedy_io,qwen2.5:3b,no,no,True,strict,True,2.7938,67,8,1,,10.4,cpu,
2026-08-10T03:00:36.543509+00:00,strategyqa,strategyqa_9,greedy_io,qwen2.5:3b,no,yes,False,strict,True,2.9752,71,8,1,,2.7,cpu,
2026-08-10T03:46:33.650272+00:00,game24,game24_0,greedy_io,qwen2.5:3b,1,24,False,lenient,True,11.1431,79,227,1,,4.4,cpu,
2026-08-10T03:46:39.604090+00:00,game24,game24_1,greedy_io,qwen2.5:3b,5 + 2,24,False,lenient,True,5.942,77,88,1,,3.6,cpu,
2026-08-10T03:46:47.184872+00:00,game24,game24_2,greedy_io,qwen2.5:3b,4,24,False,lenient,True,7.5694,77,132,1,,3.1,cpu,
2026-08-10T03:47:05.233596+00:00,game24,game24_3,greedy_io,qwen2.5:3b,35 - 11,24,True,strict,True,18.0369,78,412,1,,3.9,cpu,
2026-08-10T03:47:09.871018+00:00,game24,game24_4,greedy_io,qwen2.5:3b,8 * 3,24,True,strict,True,4.6261,77,53,1,,2.7,cpu,
2026-08-10T03:47:21.818701+00:00,game24,game24_5,greedy_io,qwen2.5:3b,5,24,False,lenient,True,11.9362,77,249,1,,6.4,cpu,
2026-08-10T03:47:31.181760+00:00,game24,game24_6,greedy_io,qwen2.5:3b,8,24,False,lenient,True,9.3514,77,180,1,,7.8,cpu,
2026-08-10T03:47:34.876125+00:00,game24,game24_7,greedy_io,qwen2.5:3b,(9 - 7),24,False,lenient,True,3.6825,77,28,1,,3.7,cpu,
2026-08-10T03:47:41.945621+00:00,game24,game24_8,greedy_io,qwen2.5:3b,(7 - 2/7),24,False,lenient,True,7.0573,77,118,1,,5.8,cpu,
2026-08-10T03:48:24.301243+00:00,game24,game24_9,greedy_io,qwen2.5:3b,5,24,False,lenient,True,42.3418,77,1024,1,,6.7,cpu,
